MSSA_COUNTY,MSSA_ID,MSSA_NAME,Total_Population,EST_Physicians,EST_FNPPA,EST_Providers,Provider_Ratio,Score_Provider_Ratio,Pop_100FPL,PCT_100FPL,Score_Poverty,Score_Total,PCSA,Effective Date
Los Angeles,78.2vv,Los Nietos/Santa Fe Springs Northeast,93085,10,4,13,7160.4,5,12238,0.131,2,7,Yes,1/30/2020
Los Angeles,78.2vvv,Diamond Bar/Industry East/Phillips Ranch/Pomona West/Walnut,113823,72,21.2,87.9,1294.9,1,8572,0.075,1,2,No,1/30/2020
Los Angeles,78.2w,Century City/Cheviot Hills/Rancho Park/West Los Angeles/Westwood,120985,614,152.7,728.5,166.1,0,21157,0.175,3,3,No,1/30/2020
Los Angeles,78.2ww,Pico Rivera/Santa Fe Springs Northwest,100417,46,19.2,60.4,1662.5,2,10957,0.109,2,4,No,1/30/2020
Los Angeles,78.2www,Valinda/West Covina,127444,113,55.2,154.4,825.4,0,13954,0.109,2,2,No,1/30/2020
Los Angeles,78.2x,Hancock Park/Mid-City West/Park La Brea,126217,311.5,98.9,385.7,327.2,0,14039,0.111,2,2,No,1/30/2020
Los Angeles,78.2xx,Agoura Hills/Calabasas/Hidden Hills/West Hills/Westlake,118960,130.5,26.2,150.1,792.5,0,8257,0.069,1,1,No,1/30/2020
Los Angeles,78.2xxx,Arcadia Central and Northeast/Bradbury/Monrovia/Sierra Madre,102294,82.5,23.5,100.2,1020.9,1,9063,0.089,1,2,No,1/30/2020
Los Angeles,78.2y,Culver City North/Palms,95014,50,12.3,59.2,1605,2,11022,0.116,2,4,No,1/30/2020
Los Angeles,78.2yy,Encino/Tarzana/Warner Center/Woodland Hills,86052,389,39.4,418.5,205.6,0,6835,0.079,1,1,No,1/30/2020
Los Angeles,78.2yyy,Bassett/Industry West/La Puente,123348,162,24.8,180.6,683,0,17695,0.143,2,2,No,1/30/2020
Los Angeles,78.2z,Mar Vista/Ocean Park/Santa Monica South/Venice,78857,57,28.9,78.7,1002,1,10474,0.133,2,3,No,1/30/2020
Los Angeles,78.2zz,Northridge South/Reseda North,114038,313,45,346.7,328.9,0,20393,0.179,3,3,No,1/30/2020
Los Angeles,78.2zzz,Baldwin Park/Irwindale,105414,25.5,61.7,71.8,1468.2,1,12493,0.119,2,3,No,1/30/2020
Madera,79.1,Oakhurst/Yosemite Lakes,26945,7.5,8.6,14,1924.6,2,4099,0.152,3,5,Yes,1/30/2020
Madera,79.2,Chowchilla,16178,7.5,3.7,10.2,1586.1,2,4282,0.265,5,7,Yes,1/30/2020
Madera,80,Madera,103051,35,43.1,67.3,1531.2,2,23863,0.232,4,6,Yes,1/30/2020
Marin,81,Bolinas/Dillon Beach/Inverness/Point Reyes Station/Stinson Beach/Tomales,13674,12,8.7,18.5,739.1,0,1103,0.081,1,1,No,1/30/2020
Marin,82,Angel Island/Belvedere/Marin City/Sausalito/Strawberry Manor/Tiburon,55400,54,13,63.7,869.7,0,2935,0.053,1,1,No,1/30/2020
Marin,83a,Corte Madera/Fairfax/Kentfield/Larkspur/Marinwood/Mill Valley/Ross/San Anselmo/San Rafael West/Terra Linda,83395,208,38.2,236.6,352.5,0,4505,0.054,1,1,No,1/30/2020
Marin,83b,Bel Marin Keys/Black Point/Ignacio/Novato/San Rafael East/Santa Venetia,102159,79,31.9,102.9,992.8,0,11972,0.117,2,2,No,1/30/2020
Mariposa,85,Bootjack/CatheyGÇÖs Valley/Coulterville/Don Pedro/El Portal/Fish Camp/Mariposa,15655,5,4,8,1956.9,2,2415,0.154,3,5,Yes,1/30/2020
Mariposa,86,Yosemite Valley,1801,0,1,0.7,2572.9,4,214,0.119,2,6,Yes,1/30/2020
Mendocino,87.1,Boonville/Navarro/Philo/Yorkville,2897,1,1,1.8,1609.4,2,579,0.2,3,5,Yes,1/30/2020
Mendocino,87.2,Elk/Little River/Mendocino,7518,1,0,1,7518,5,1148,0.153,3,8,Yes,1/30/2020
Mendocino,88,Anchor Bay/Gualala/Manchester/Point Arena,4094,2,2,3.5,1169.7,1,493,0.12,2,3,No,1/30/2020
Mendocino,89,Fort Bragg/Westport,11484,8.3,9.3,15.2,755.5,0,2069,0.18,3,3,No,1/30/2020
Mendocino,90,Laytonville/Leggett/Piercy,3596,2,1.7,3.2,1123.8,1,975,0.271,5,6,Yes,1/30/2020
Mendocino,91,Brooktrails/Pine Mountain/Willits,12509,7.6,2.3,9.3,1345.1,1,2835,0.227,4,5,Yes,1/30/2020
Mendocino,92,Covelo/Dos Rios,2496,1,0.3,1.2,2080,3,689,0.276,5,8,Yes,1/30/2020
Mendocino,93.1,Ukiah,27275,12.1,28.2,33.2,821.5,0,5499,0.202,4,4,No,1/30/2020
Mendocino,93.2,Redwood Valley,5992,4,3.3,6.5,921.8,0,702,0.117,2,2,No,1/30/2020
Mendocino,93.3,Potter Valley,1896,0,0,0,,5,411,0.217,4,9,Yes,1/30/2020
Mendocino,93.4,Talmage,4000,0,0,0,,5,633,0.158,3,8,Yes,1/30/2020
Mendocino,93.5,Hopland,2275,0,0,0,,5,415,0.182,3,8,Yes,1/30/2020
Merced,94,Dos Palos/Gustine/Los Banos,59460,10,19.9,24.9,2388,3,13005,0.219,4,7,Yes,1/30/2020
Merced,95,Ballico/Cressey/Delhi/Hilmar/Livingston,42432,10,14,20.5,2069.9,3,7098,0.167,3,6,Yes,1/30/2020
Merced,96,Atwater/Snelling/Winton,50853,16.5,7,21.7,2343.5,3,10659,0.21,4,7,Yes,1/30/2020
Merced,97.1,Merced Central and North/Merced Southeast,76031,81,28.1,102.1,744.7,0,19290,0.254,5,5,Yes,1/30/2020
Merced,97.2,El Nido/Merced Southwest,24472,43,20.9,58.7,416.9,0,8591,0.351,5,5,Yes,1/30/2020
Merced,97.3,Le Grand/Planada,7775,2.5,2.7,4.5,1727.8,2,2218,0.285,5,7,Yes,1/30/2020
Modoc,98,Alturas/Canby,6234,3,4.7,6.5,959.1,0,1266,0.203,4,4,No,1/30/2020
Modoc,99,Surprise Valley,1102,0,0,0,,5,172,0.156,3,8,Yes,1/30/2020
Modoc,100,Adin/Lookout/Newell,1392,0,0,0,,5,146,0.105,2,7,Yes,1/30/2020
Mono,102,Benton/Bridgeport/Chalfant/Crowley Lake/Coleville/Hammill Valley/June Lake/Lee Vining/Paradise/Sunny Slopes/Topaz/Walker,5860,1,2,2.5,2344,3,760,0.13,2,5,Yes,1/30/2020
Mono,103,Mammoth Lakes,8083,13,6,17.5,461.9,0,618,0.076,1,1,No,1/30/2020
Monterey,104,Big Sur/Lucia,1696,0.5,0.7,1,1696,2,238,0.14,2,4,No,1/30/2020
Monterey,105,King City/San Lucas,17047,17,5.7,21.2,804.1,0,4157,0.244,4,4,No,1/30/2020
Monterey,106,Bradley/San Ardo,3579,0,0,0,,5,748,0.209,4,9,Yes,1/30/2020
Monterey,107,Chualar/Gonzalez/Greenfield/Soledad,47914,21,10.2,28.7,1669.5,2,8282,0.173,3,5,Yes,1/30/2020
Monterey,108,Carmel Valley/Castroville/Marina/Moss Landing/Ord,54806,27,0.7,27.5,1992.9,2,6091,0.111,2,4,No,1/30/2020
Monterey,109.1,Aromas/Las Lomas/Pajaro/Prunedale,45458,4,2,5.5,8265.1,5,4790,0.105,2,7,Yes,1/30/2020
Monterey,109.2,Salinas/Spreckels,153612,200,46.8,235.1,653.4,0,26549,0.173,3,3,No,1/30/2020
Monterey,110,Carmel/Del Rey Oaks/Monterey/Pacific Grove/Sand City/Seaside,91349,143.5,38.8,172.6,529.3,0,10078,0.11,2,2,No,1/30/2020
Napa,111.1,Angwin/Deer Park/St. Helena,12684,17.5,7.9,23.4,542.1,0,1306,0.103,2,2,No,1/30/2020
Napa,111.2,Calistoga,6573,3,0,3,2191,3,672,0.102,2,5,Yes,1/30/2020
Napa,111.3,Berryessa,1741,0,0,0,,5,79,0.045,0,5,Yes,1/30/2020
Napa,112.1,Napa Central,63398,68,22.3,84.7,748.5,0,5046,0.08,1,1,No,1/30/2020
Napa,112.2,Napa Northeast/Rutherford/Yountville,31661,39,14.6,49.9,634.5,0,2337,0.074,1,1,No,1/30/2020
Napa,112.3,American Canyon,21358,2,2,3.5,6102.3,5,1845,0.086,1,6,Yes,1/30/2020
Nevada,113,Grass Valley/Nevada City/Penn Valley/Rough and Ready/Wildwood,77416,66,27.2,86.4,896,0,9935,0.128,2,2,No,1/30/2020
Nevada,114,North Bloomfield/North San Juan/Truckee,20421,19,9.9,26.4,773.5,0,1926,0.094,1,1,No,1/30/2020
Orange,115.1,Dana Point/San Clemente/San Juan Capistrano,116086,76,23.8,93.9,1236.3,1,10187,0.088,1,2,No,1/30/2020
Orange,115.2a,Lake Forest East/Mission Viejo Central and South,116381,125,37.4,153,760.7,0,6745,0.058,1,1,No,1/30/2020
Orange,115.2b,Coto de Caza/Las Flores/Mission Viejo Northwest/Rancho Santa Margarita/Trabuco Canyon,144626,80,17.2,92.9,1556.8,2,5653,0.039,0,2,No,1/30/2020
Orange,115.2c,Aliso Viejo/Laguna Hills/Laguna Niguel,128572,109,38.1,137.6,934.4,0,8492,0.066,1,1,No,1/30/2020
Orange,115.2d,Laguna Beach/Laguna Woods,80187,75.5,42.7,107.5,745.9,0,7989,0.1,1,1,No,1/30/2020
Orange,116a,Buena Park/La Palma,81893,45,13.6,55.2,1483.6,1,12878,0.157,3,4,No,1/30/2020
Orange,116b,Santa Ana Central,112026,68,16.5,80.4,1393.4,1,29637,0.265,5,6,Yes,1/30/2020
Orange,116c,Anaheim West,125422,86.5,17.2,99.4,1261.8,1,21459,0.171,3,4,No,1/30/2020
Orange,116d,Irvine South/Newport Beach/Newport Coast/San Joaquin Hills,145141,152.5,39.8,182.4,795.7,0,13969,0.096,1,1,No,1/30/2020
Orange,116e,Cypress/Los Alamitos/Rossmoor,115854,113.5,27.8,134.4,862,0,8280,0.071,1,1,No,1/30/2020
Orange,116f,Fullerton Central and South,106134,103,44.5,136.4,778.1,0,16342,0.154,3,3,No,1/30/2020
Orange,116g,Santa Ana South,119730,83,48,119,1006.1,1,18443,0.154,3,4,No,1/30/2020
Orange,116h,City of Orange South/Santa Ana North/Tustin Foothills/Tustin West,141882,380.5,124.5,473.8,299.5,0,22633,0.16,3,3,No,1/30/2020
Orange,116i,Garden Grove South/Santa Ana West,120364,83,17.2,95.9,1255.1,1,23297,0.194,3,4,No,1/30/2020
Orange,116j,Fountain Valley/Huntington Beach Central,80319,162.5,46.5,197.4,406.9,0,7435,0.093,1,1,No,1/30/2020
Orange,116k,Brea West/Fullerton North/La Habra,110930,57,21.2,72.9,1521.7,2,11734,0.106,2,4,No,1/30/2020
Orange,116l,Anaheim Central,100929,109,31.4,132.6,761.2,0,20249,0.201,4,4,No,1/30/2020
Orange,116m,Brea East/Placentia Central and North/Yorba Linda,146322,106,43.1,138.3,1058,1,8619,0.059,1,2,No,1/30/2020
Orange,116n,Anaheim Hills/City of Orange East/Villa Park,124796,408.5,27,428.7,291.1,0,7970,0.064,1,1,No,1/30/2020
Orange,116o,Irvine Central/Tustin East,99394,199,40.5,229.4,433.3,0,9531,0.096,1,1,No,1/30/2020
Orange,116p,Costa Mesa,115982,239.5,87.5,305.1,380.1,0,16348,0.141,2,2,No,1/30/2020
Orange,116q,Anaheim East/City of Orange North/Placentia Southwest,124780,26,20.6,41.4,3014,5,19711,0.158,3,8,Yes,1/30/2020
Orange,116r,Garden Grove North/Stanton,127633,230,34.1,255.5,499.5,0,23293,0.182,3,3,No,1/30/2020
Orange,116s,Huntington Beach North/Seal Beach East/Westminster,128512,132.5,38.8,161.6,795.2,0,25310,0.197,3,3,No,1/30/2020
Orange,116t,Huntington Beach South,83242,57.5,24.9,76.2,1092.4,1,4642,0.056,1,2,No,1/30/2020
Orange,116u,Huntington Beach West/Seal Beach West,89287,38,23.9,55.9,1597.3,2,6825,0.076,1,3,No,1/30/2020
Orange,116v,Foothill Ranch/IrvineNortheast/Lake Forest West/Portola Hills/Tustin East,132093,36,19.9,50.9,2595.1,4,10788,0.082,1,5,Yes,1/30/2020
Placer,117,Dollar Point/Kings Beach/Sunnyside/Tahoe City/Tahoe Vista,10464,1,2,2.5,4185.6,5,1214,0.116,2,7,Yes,1/30/2020
Placer,118,Colfax/Meadow Vista,28043,6,5.6,10.2,2749.3,4,2885,0.103,2,6,Yes,1/30/2020
Placer,119,Auburn/Newcastle/Lincoln/Sheridan,98699,98,23.9,115.9,851.6,0,8898,0.09,1,1,No,1/30/2020
Placer,120,Foresthill,6534,1,0,1,6534,5,626,0.096,1,6,Yes,1/30/2020
Placer,121.1,Roseville,112387,45,30.9,68.1,1650.3,2,10411,0.093,1,3,No,1/30/2020
Placer,121.2,Rocklin/Granite Bay,115540,318,76.8,375.6,307.6,0,6439,0.056,1,1,No,1/30/2020
Plumas,122,Belden/Caribou/Crescent Mills/Genessee/Greenville/Indian Falls/North Arm/Storrie/Taylorsville/Tobin/Twain,2679,1,0.3,1.2,2232.5,3,356,0.133,2,5,Yes,1/30/2020
Plumas,123.1,Bucks Lake/Cromberg/East Quincy/Greenhorn/Keddie/Laporte/Little Grass Valley/Meadow Valley/Quincy/Sloat/Spring Garden,6143,12.5,2,14,438.8,0,943,0.154,3,3,No,1/30/2020
Plumas,123.2,Blairsden/Clio/C-Road/Gold Mountain/Greagle/Johnsville/Mohawk Meadows/Mohawk Vista/Plumas Eureka/Plumas Pines/Sierra Springs/Valley Ranch/White Hawk,1423,0,0,0,,5,91,0.064,1,6,Yes,1/30/2020
Plumas,124,Beckwourth/Chilcoot/Crocker Mountain/Delleker/Iron Horse/Lake Davis/Maybe/Portola/Valley View/Vinton,4058,4,0.3,4.2,966.2,0,678,0.167,3,3,No,1/30/2020
Plumas,125,Bailey Creek/Canyondam/Chester/Eastshore/Foxwood/Hamilton Branch/Lake Almanor Peninsula/Lake Almanor Peninsula/Lake Almanor West/Prattville/Warner Valley,4074,4,1,4.8,848.8,0,371,0.091,1,1,No,1/30/2020
Riverside,126,Blythe,14600,5,2.7,7,2085.7,3,3753,0.257,5,8,Yes,1/30/2020
Riverside,127,Chiriaco Summit/Desert Center/Eagle Mountain,1696,5.5,1,6.3,269.2,0,352,0.208,4,4,No,1/30/2020
Riverside,128,Arabia/Coachella/Desert Beach/Flowing Wells/Indio South/La Quinta East/Mecca/Oasis/Thermal,103848,37,20.2,52.2,1989.4,2,27311,0.263,5,7,Yes,1/30/2020
Riverside,129.1,Bermuda Dunes South/Indian Wells/La Quinta West/Palm Desert/Rancho Mirage Central and South,104582,152.5,58.1,196.1,533.3,0,12971,0.124,2,2,No,1/30/2020
Riverside,129.2,Bermuda Dunes North/Indio North,60375,14,1.7,15.2,3972,5,10207,0.169,3,8,Yes,1/30/2020
Riverside,129.3,Agua Caliente/Palm Springs Central,28840,17,5.3,21,1373.3,1,5342,0.185,3,4,No,1/30/2020
Riverside,129.4,Cathedral City Southeast/Palm Desert North/Palm Springs South/Rancho Mirage North,139974,121.5,49.7,158.8,881.4,0,31786,0.227,4,4,No,1/30/2020
Riverside,130,Idyllwild/Pine Cove,12466,0,3.3,2.5,4986.4,5,2121,0.17,3,8,Yes,1/30/2020
Riverside,132,East Hemet/Hemet/Valle Vista,149192,55.5,48.4,91.8,1625.2,2,32365,0.217,4,6,Yes,1/30/2020
Riverside,133.1,Canyon Lake/Perris/Quail Valley/Romoland/Sun City/Winchester,191025,43,20.5,58.4,3271,5,29479,0.154,3,8,Yes,1/30/2020
Riverside,133.2,Homeland/Lakeview/San Jacinto,32019,0,0.3,0.2,160095,5,4663,0.146,2,7,Yes,1/30/2020
Riverside,133.3,Glen Valley/Mead Valley,25428,1,0,1,25428,5,7432,0.292,5,10,Yes,1/30/2020
Riverside,134,Banning/Beaumont/Cabizon/Calimesa/Cherry Valley,156999,114,48.3,150.2,1045.3,1,23030,0.147,2,3,No,1/30/2020
Riverside,131a,Lake Elsinore/Murrieta West/Sedco Hills/Wildomar,154507,69,32.3,93.2,1657.8,2,20702,0.134,2,4,No,1/30/2020
Riverside,131b,French Valley/Murrieta East/Temecula/Winchester,160430,50,26.5,69.9,2295.1,3,13653,0.085,1,4,No,1/30/2020
Riverside,131c,Temecula South,90043,72,66.2,121.7,739.9,0,5084,0.056,1,1,No,1/30/2020
Riverside,135a,Eastside/Fairmont Park/Riverside Downtown/Rubidoux/University,101703,44,36,71,1432.4,1,25252,0.248,4,5,Yes,1/30/2020
Riverside,135b,Edgemont/Orange Crest/Woodcrest,171604,71.5,46,106,1618.9,2,24791,0.144,2,4,No,1/30/2020
Riverside,135c,Casablanca/Riverside Central,89487,129.5,46,164,545.7,0,15488,0.173,3,3,No,1/30/2020
Riverside,135d,Arlington/Corona East/Home Gardens/La Sierra/Riverside Southwest,124197,273.5,43.4,306.1,405.7,0,21248,0.171,3,3,No,1/30/2020
Riverside,135e,Corona North/Glen Avon/Jurupa/Norco,182370,36,19.2,50.4,3618.5,5,17538,0.096,1,6,Yes,1/30/2020
Riverside,135f,Corona South/El Cerrito/Temescal,131622,63,33.3,88,1495.7,1,11672,0.089,1,2,No,1/30/2020
Riverside,135g,Moreno Valley,92987,7.5,12.6,17,5469.8,5,15975,0.172,3,8,Yes,1/30/2020
Sacramento,136,Clay/Galt/Herald/Wilton,38278,4.3,2.7,6.3,6075.9,5,5429,0.142,2,7,Yes,1/30/2020
Sacramento,137,Clarksburg/Hood/Isleton/Locke/Walnut Grove,5522,1,0.3,1.2,4601.7,5,799,0.145,2,7,Yes,1/30/2020
Sacramento,138,Rancho Murieta/Sloughhouse,22811,5,2,6.5,3509.4,5,1278,0.056,1,6,Yes,1/30/2020
Sacramento,139a,Elverta/Natomas/North Highlands/Rio Linda,197817,42,14.2,52.6,3760.8,5,28800,0.146,2,7,Yes,1/30/2020
Sacramento,139b,Carmichael/Fair Oaks/Gold River,92633,122,49.3,159,582.6,0,13071,0.141,2,2,No,1/30/2020
Sacramento,139c,Antelope/Citrus Heights/Foothill Farms,123186,28,10.9,36.2,3402.9,5,19972,0.162,3,8,Yes,1/30/2020
Sacramento,139d,Arcade/Arden/Town and Country Village,78207,206,38.8,235.1,332.7,0,13365,0.171,3,3,No,1/30/2020
Sacramento,139e,Folsom/Orangevale,110552,72,49.1,108.8,1016.1,1,7059,0.064,1,2,No,1/30/2020
Sacramento,139f,Florin/Fruitridge/Oak Park/Parkway/South Sacramento,124342,363,86.4,427.8,290.7,0,35349,0.284,5,5,Yes,1/30/2020
Sacramento,139g,East Sacramento/La Riviera/Mather/Rancho Cordova/Rosemont,129185,117,37.8,145.3,889.1,0,20120,0.156,3,3,No,1/30/2020
Sacramento,139h,Elk Grove/Laguna/Laguna West/Lakeside,81004,244,39.5,273.6,296.1,0,11677,0.144,2,2,No,1/30/2020
Sacramento,139i,Greenhaven/Land Park/Midtown/Pocket/Riverside/Sutterville,84967,223,79.1,282.3,301,0,7875,0.093,1,1,No,1/30/2020
Sacramento,139j,Capitol Park/Del Paso Heights/Downtown/Gardenland/North Sacramento,127877,122,78.4,180.8,707.3,0,42398,0.332,5,5,Yes,1/30/2020
Sacramento,139k,Freeport/Meadowview,87716,23,20.6,38.5,2278.3,3,22445,0.256,5,8,Yes,1/30/2020
Sacramento,139l,Vineyard,81806,4,3,6.3,12985.1,5,9259,0.113,2,7,Yes,1/30/2020
Sacramento,139m,Central South Elk Grove/Franklin,88663,80,27.2,100.4,883.1,0,7307,0.082,1,1,No,1/30/2020
San Benito,140,Hollister/Paicines/Panoche/San Juan Bautista,58318,17,9.9,24.4,2390.1,3,5670,0.097,1,4,No,1/30/2020
San Bernardino,142,Argus/Borosalvay/Trona,1999,0,0.3,0.2,9995,5,572,0.286,5,10,Yes,1/30/2020
San Bernardino,143,Big River/Needles,6592,0,2,1.5,4394.7,5,1710,0.259,5,10,Yes,1/30/2020
San Bernardino,144.1,USMC Air-Ground Combat Training Center,5655,6,8.6,12.4,456,0,865,0.153,3,3,No,1/30/2020
San Bernardino,144.2,Joshua Tree/Landers/Morongo Valley/Rimrock/Yucca Valley,41100,10,15.6,21.7,1894,2,9004,0.219,4,6,Yes,1/30/2020
San Bernardino,144.3,Cadiz/Twentynine Palms,19535,0,2.6,2,9767.5,5,5031,0.258,5,10,Yes,1/30/2020
San Bernardino,145.2,Adelanto/Phelan/Pinon Hills/Victorville Northwest,57125,4,4.3,7.2,7934,5,16514,0.289,5,10,Yes,1/30/2020
San Bernardino,145.3,Lucerne Valley,5237,0,0,0,,5,1330,0.254,5,10,Yes,1/30/2020
San Bernardino,146,Big Bear Lake/Fawnskin/Moorridge/Running Springs/Sugarloaf,26025,3,9.6,10.2,2551.5,4,4229,0.162,3,7,Yes,1/30/2020
San Bernardino,147,Blue Jay/Crestline/Lake Arrowhead/Skyforest/Twin Peaks,21784,5,2.3,6.7,3251.3,5,3570,0.164,3,8,Yes,1/30/2020
San Bernardino,148,Lytle Creek/Wrightwood,6720,0,0,0,,5,806,0.12,2,7,Yes,1/30/2020
San Bernardino,149,Barstow/Daggett/Lenwood/Nebo Center/Oro Grande/Yermo,53079,12,9.3,19,2793.6,4,15533,0.293,5,9,Yes,1/30/2020
San Bernardino,150,Baker/Harvard/Newberry Springs,11166,4,8.3,10.2,1094.7,1,1069,0.096,1,2,No,1/30/2020
San Bernardino,145.1a,Hesperia West/Mountain View Acres/Victorville Central and South,185393,99,58,142.5,1301,1,40353,0.218,4,5,Yes,1/30/2020
San Bernardino,145.1b,Apple Valley/Hesperia East,116152,60,34.4,85.8,1353.8,1,21877,0.188,3,4,No,1/30/2020
San Bernardino,151a,Chino Hills/Chino West Central/Los Serranos/Sleepy Hollow,121800,78.5,30.3,101.3,1202.4,1,10223,0.084,1,2,No,1/30/2020
San Bernardino,151b,Ontario Northeast/Rancho Cucamonga South,99506,81.5,28.1,102.6,969.8,0,14462,0.145,2,2,No,1/30/2020
San Bernardino,151c,Montclair/Ontario Northwest/Upland South,129571,75.5,42.4,107.3,1207.6,1,26646,0.206,4,5,Yes,1/30/2020
San Bernardino,151d,Rancho Cucamonga Northwest/San Antonio Heights/Upland North,85661,34,31.2,57.4,1492.4,1,8030,0.094,1,2,No,1/30/2020
San Bernardino,151e,Fontana North/Rancho Cucamonga Northwest/Rialto Northeast,198013,34,42.4,65.8,3009.3,5,14496,0.073,1,6,Yes,1/30/2020
San Bernardino,151f,Bloomington/Colton Central and West/Fontana South/Rialto South,143180,408,101,483.8,295.9,0,26221,0.183,3,3,No,1/30/2020
San Bernardino,151g,Muscoy/San Bernardino Central,127436,74,31.4,97.5,1307,1,42806,0.336,5,6,Yes,1/30/2020
San Bernardino,151h,Fontana Central/Rialto Central,137445,54,24.2,72.2,1903.7,2,29571,0.215,4,6,Yes,1/30/2020
San Bernardino,151i,Colton Southeast/Grand Terrace/Loma Linda/Redlands North,104276,380.5,125.3,474.5,219.8,0,17481,0.168,3,3,No,1/30/2020
San Bernardino,151j,Mentone/Redlands South/Yucaipa,100394,111,33.9,136.4,736,0,11878,0.118,2,2,No,1/30/2020
San Bernardino,151k,Highland/San Bernardino East,119130,87.5,33.3,112.5,1058.9,1,36041,0.303,5,6,Yes,1/30/2020
San Bernardino,151l,Chino Northeast/Fontana Southwest/Ontario South,138525,35,17.2,47.9,2892,4,14492,0.105,2,6,Yes,1/30/2020
San Diego,152,Borrego Springs/Cuyamaca/Julian/Kentwood in the Pines/Laguna/Ocotillo Wells/Palomar/Pine Valley/Warner Springs,9652,7.5,1.3,8.5,1135.5,1,1305,0.135,2,3,No,1/30/2020
San Diego,153.1,Pala/Pauma Valley,7361,0,0.3,0.2,36805,5,1069,0.145,2,7,Yes,1/30/2020
San Diego,153.2,Rincon/San Pasqual/Valley Center,16566,7,4.7,10.5,1577.7,2,1971,0.119,2,4,No,1/30/2020
San Diego,154,Barona/Moreno,2626,0,0,0,,5,353,0.134,2,7,Yes,1/30/2020
San Diego,155,Alpine/Blossom Valley/Crest/Descanso/Glen Oaks/Harbison Canyon/Japatul/Palo Verde,34064,6,6,10.5,3244.2,5,3100,0.091,1,6,Yes,1/30/2020
San Diego,157,Dulzura/Engineer Springs/Indian Springs/Jamacha/Jamul,16218,3,4.7,6.5,2495.1,3,1149,0.071,1,4,No,1/30/2020
San Diego,158.1,Ramona/Rock Haven/Rosemont,25754,13,3.3,15.5,1661.5,2,2311,0.09,1,3,No,1/30/2020
San Diego,158.2,Ballena/Four Corners/San Diego Country Estates,11385,0,0,0,,5,338,0.03,0,5,Yes,1/30/2020
San Diego,159,Buckman Springs/Canyon City/Jacumba/Morena Village/Tecate,7072,0,2.7,2,3536,5,1359,0.192,3,8,Yes,1/30/2020
San Diego,160,Bonsall/Camp Pendleton/Fallbrook/Live Oak Park/Rainbow/San Luis Rey Heights/Winterwarm,72487,36,21.5,52.1,1391.3,1,8408,0.116,2,3,No,1/30/2020
San Diego,156a,Encinitas Central/Leucadia/Oceanside North and West/San Luis Rey/South Oceanside,114604,102.5,42.8,134.6,851.4,0,15074,0.132,2,2,No,1/30/2020
San Diego,156b,Carlsbad East/Encinitas East/Oceanside East,115730,51.5,47.4,87,1330.2,1,10313,0.089,1,2,No,1/30/2020
San Diego,156c,Cardiff by the Sea/Eden Gardens/Harmony Grove/La Costa/Ocean Hills/Lomas Santa Fe/Olivehain/Rancho Santa Fe/San Marcos South/Solana Beach/Vista South,164809,157,59.4,201.6,817.5,0,12064,0.073,1,1,No,1/30/2020
San Diego,156d,Oceanside East/San Marcos West/Vista,132304,158,68.3,209.2,632.4,0,20487,0.155,3,3,No,1/30/2020
San Diego,156e,Escondido Central and South/San Marcos Central and East,138440,174,54.2,214.7,644.8,0,25417,0.184,3,3,No,1/30/2020
San Diego,156f,Escondido East/Hidden Meadows/Poway North,105001,15.5,9,22.2,4729.8,5,8568,0.082,1,6,Yes,1/30/2020
San Diego,161a,Clairemont/Fiesta Shores/Linda Vista/Mission Beach/Sorrento/University City,153333,111.5,75.3,168,912.7,0,24898,0.162,3,3,No,1/30/2020
San Diego,161b,Bay Park/Five Points/Hillcrest Northwest/Mission Hills/Mission Valley/Morena/Normal Heights/Old Town/Serra Mesa,102204,663.8,199,813,125.7,0,11614,0.114,2,2,No,1/30/2020
San Diego,161c,Downtown/Golden Hill/Logan Heights,82416,151.5,74.1,207.1,398,0,23565,0.286,5,5,Yes,1/30/2020
San Diego,161d,Chollas Creek/City Heights/East San Diego/North Park/Oak Park/South Park,101704,49,20.6,64.4,1579.3,2,25180,0.248,4,6,Yes,1/30/2020
San Diego,161e,College Heights/Hillcrest Southeast/Kensington/Rolando North/University Heights,94234,145,49,181.7,518.6,0,19137,0.203,4,4,No,1/30/2020
San Diego,161f,La Mesa/Rolando South,85180,136.5,44.6,170,501.1,0,12693,0.149,2,2,No,1/30/2020
San Diego,161g,Encanto/Lemon Grove Northwest/Lincoln Acres/National City East/Paradise Hills Southwest,100797,61.5,26.9,81.7,1233.7,1,22440,0.223,4,5,Yes,1/30/2020
San Diego,161h,El Cajon Central and South/Fletcher Hills,89935,45.5,23.6,63.2,1423,1,20564,0.229,4,5,Yes,1/30/2020
San Diego,161i,Calavo Gardens/Casa de Oro/Cottonwood/Grossmont/Homelands/Lemon Grove Central and North/Mount Helix/Rancho San Diego/Spring Valley,86139,33,10.6,40.9,2106.1,3,11128,0.129,2,5,Yes,1/30/2020
San Diego,161j,Castle Park/Chula Vista Southwest/Imperial Beach West/Nestor East/Palm City/San Ysidro/South San Diego,156401,59,31.5,82.6,1893.5,2,28672,0.183,3,5,Yes,1/30/2020
San Diego,161k,Chula Vista Central and Northwest/National City West,76722,85,43.1,117.4,653.5,0,18133,0.236,4,4,No,1/30/2020
San Diego,161l,Lemon Grove South/Paradise Hills,83744,5,1,5.8,14438.6,5,10647,0.127,2,7,Yes,1/30/2020
