,president,subgroup,date,approve,approve_hi,approve_lo,disapprove,disapprove_hi,disapprove_lo,timestamp,spread,datetime,date_display
612,Joe Biden,Adults,10-30-21,43.36,48.2936,38.43287,49.93,54.10301,45.75431,10:46:14 30 Oct 2021,-6.57,2021-10-30 10:46:14,Oct. 30
615,Joe Biden,Adults,10-29-21,43.36,48.29357,38.4329,49.93,54.10297,45.75436,13:50:14 29 Oct 2021,-6.57,2021-10-29 13:50:14,Oct. 29
618,Joe Biden,Adults,10-28-21,43.36,48.2936,38.43287,49.93,54.10301,45.75431,21:13:14 28 Oct 2021,-6.57,2021-10-28 21:13:14,Oct. 28
621,Joe Biden,Adults,10-27-21,43.09,48.17592,38.01147,49.51,53.91731,45.09698,18:12:03 27 Oct 2021,-6.41,2021-10-27 18:12:03,Oct. 27
624,Joseph R. Biden Jr.,Adults,10-26-21,42.93,48.138978,37.715725,49.52,54.027718,45.004914,09:40:13 26 Oct 2021,-6.59,2021-10-26 09:40:13,Oct. 26
633,Joseph R. Biden Jr.,Adults,10-25-21,42.72,48.167347,37.280347,48.95,53.39369,44.496407,09:47:30 25 Oct 2021,-6.22,2021-10-25 09:47:30,Oct. 25
636,Joseph R. Biden Jr.,Adults,10-22-21,42.72,48.167383,37.280311,48.95,53.393731,44.496366,20:48:12 22 Oct 2021,-6.22,2021-10-22 20:48:12,Oct. 22
639,Joseph R. Biden Jr.,Adults,10-21-21,42.71,48.233176,37.19033,48.99,53.560886,44.4181,17:15:15 21 Oct 2021,-6.28,2021-10-21 17:15:15,Oct. 21
642,Joseph R. Biden Jr.,Adults,10-20-21,42.82,48.592388,37.043368,48.93,53.717564,44.133423,20:39:12 20 Oct 2021,-6.11,2021-10-20 20:39:12,Oct. 20
645,Joseph R. Biden Jr.,Adults,10-19-21,43.85,49.715136,37.976513,49.29,54.396375,44.186638,16:01:13 19 Oct 2021,-5.45,2021-10-19 16:01:13,Oct. 19
654,Joseph R. Biden Jr.,Adults,10-18-21,45.01,50.09462,39.929302,48.83,53.967463,43.687314,09:16:30 18 Oct 2021,-3.82,2021-10-18 09:16:30,Oct. 18
657,Joseph R. Biden Jr.,Adults,10-15-21,45.01,50.094582,39.92934,48.83,53.96742,43.687357,13:12:13 15 Oct 2021,-3.82,2021-10-15 13:12:13,Oct. 15
660,Joseph R. Biden Jr.,Adults,10-14-21,44.97,50.0619,39.885275,48.82,53.981062,43.663305,21:09:13 14 Oct 2021,-3.85,2021-10-14 21:09:13,Oct. 14
663,Joseph R. Biden Jr.,Adults,10-13-21,44.93,50.201202,39.666319,48.77,54.11574,43.417333,12:47:12 13 Oct 2021,-3.83,2021-10-13 12:47:12,Oct. 13
666,Joseph R. Biden Jr.,Adults,10-12-21,45.01,50.069433,39.95672,48.18,53.712793,42.644506,09:33:13 12 Oct 2021,-3.17,2021-10-12 09:33:13,Oct. 12
669,Joseph R. Biden Jr.,Adults,10-11-21,45.01,50.069396,39.956758,48.18,53.712749,42.644549,14:30:16 11 Oct 2021,-3.17,2021-10-11 14:30:16,Oct. 11
675,Joseph R. Biden Jr.,Adults,10-10-21,43.73,48.572824,38.893213,48.0,53.674144,42.330554,12:59:20 10 Oct 2021,-4.27,2021-10-10 12:59:20,Oct. 10
678,Joseph R. Biden Jr.,Adults,10-08-21,43.73,48.572824,38.893213,48.0,53.674144,42.330554,14:03:13  8 Oct 2021,-4.27,2021-10-08 14:03:13,Oct. 08
681,Joseph R. Biden Jr.,Adults,10-07-21,43.73,48.572786,38.893251,48.0,53.674101,42.330597,21:01:12  7 Oct 2021,-4.27,2021-10-07 21:01:12,Oct. 07
684,Joseph R. Biden Jr.,Adults,10-06-21,43.38,48.137254,38.619542,48.18,53.99141,42.371904,20:00:13  6 Oct 2021,-4.8,2021-10-06 20:00:13,Oct. 06
687,Joseph R. Biden Jr.,Adults,10-05-21,44.59,48.822188,40.358303,46.89,52.829,40.942859,20:25:12  5 Oct 2021,-2.3,2021-10-05 20:25:12,Oct. 05
690,Joseph R. Biden Jr.,Adults,10-04-21,44.65,48.869899,40.438837,46.64,52.528847,40.750177,13:15:11  4 Oct 2021,-1.99,2021-10-04 13:15:11,Oct. 04
696,Joseph R. Biden Jr.,Adults,10-03-21,44.8,49.267677,40.339763,47.75,53.030839,42.473887,20:34:20  3 Oct 2021,-2.95,2021-10-03 20:34:20,Oct. 03
699,Joseph R. Biden Jr.,Adults,10-01-21,44.8,49.267677,40.339763,47.75,53.030839,42.473887,10:23:11  1 Oct 2021,-2.95,2021-10-01 10:23:11,Oct. 01
702,Joseph R. Biden Jr.,Adults,09-30-21,44.54,48.779503,40.30906,47.71,53.190446,42.230321,23:12:12 30 Sep 2021,-3.17,2021-09-30 23:12:12,Sep. 30
705,Joseph R. Biden Jr.,Adults,09-29-21,44.42,48.950277,39.89892,48.2,54.086808,42.309027,09:51:10 29 Sep 2021,-3.77,2021-09-29 09:51:10,Sep. 29
708,Joseph R. Biden Jr.,Adults,09-28-21,44.92,48.988322,40.853871,48.08,54.045708,42.119189,09:39:12 28 Sep 2021,-3.16,2021-09-28 09:39:12,Sep. 28
717,Joseph R. Biden Jr.,Adults,09-27-21,44.87,48.923542,40.817871,48.12,54.091534,42.152934,09:35:51 27 Sep 2021,-3.25,2021-09-27 09:35:51,Sep. 27
720,Joseph R. Biden Jr.,Adults,09-24-21,44.87,48.923501,40.817912,48.12,54.091483,42.152985,14:49:10 24 Sep 2021,-3.25,2021-09-24 14:49:10,Sep. 24
723,Joseph R. Biden Jr.,Adults,09-23-21,45.22,49.251772,41.188433,47.48,53.365515,41.58487,14:35:10 23 Sep 2021,-2.26,2021-09-23 14:35:10,Sep. 23
726,Joseph R. Biden Jr.,Adults,09-22-21,45.94,50.319715,41.552406,47.75,52.544759,42.962307,17:27:10 22 Sep 2021,-1.82,2021-09-22 17:27:10,Sep. 22
729,Joseph R. Biden Jr.,Adults,09-21-21,46.18,50.751326,41.599666,47.57,52.44096,42.692043,16:18:11 21 Sep 2021,-1.39,2021-09-21 16:18:11,Sep. 21
732,Joseph R. Biden Jr.,Adults,09-20-21,45.63,49.943857,41.310945,47.77,52.719239,42.826264,13:32:11 20 Sep 2021,-2.15,2021-09-20 13:32:11,Sep. 20
738,Joseph R. Biden Jr.,Adults,09-19-21,45.52,49.816727,41.225437,47.81,52.754575,42.871149,13:37:16 19 Sep 2021,-2.29,2021-09-19 13:37:16,Sep. 19
741,Joseph R. Biden Jr.,Adults,09-17-21,45.52,49.816727,41.225437,47.81,52.754575,42.871149,13:01:56 17 Sep 2021,-2.29,2021-09-17 13:01:56,Sep. 17
744,Joseph R. Biden Jr.,Adults,09-16-21,45.45,49.752337,41.152388,47.75,52.716586,42.787076,19:01:10 16 Sep 2021,-2.3,2021-09-16 19:01:10,Sep. 16
747,Joseph R. Biden Jr.,Adults,09-15-21,45.49,50.078693,40.90806,47.61,52.853442,42.373786,14:20:10 15 Sep 2021,-2.12,2021-09-15 14:20:10,Sep. 15
750,Joseph R. Biden Jr.,Adults,09-14-21,45.56,50.268778,40.846693,47.69,53.049536,42.32367,14:59:10 14 Sep 2021,-2.13,2021-09-14 14:59:10,Sep. 14
759,Joseph R. Biden Jr.,Adults,09-13-21,45.58,50.289658,40.874291,46.95,52.500638,41.393652,08:56:22 13 Sep 2021,-1.37,2021-09-13 08:56:22,Sep. 13
762,Joseph R. Biden Jr.,Adults,09-10-21,45.58,50.286749,40.87206,46.95,52.500158,41.393676,18:35:10 10 Sep 2021,-1.37,2021-09-10 18:35:10,Sep. 10
765,Joseph R. Biden Jr.,Adults,09-09-21,44.38,48.973546,39.789109,46.61,52.229658,40.986924,21:02:11  9 Sep 2021,-2.23,2021-09-09 21:02:11,Sep. 09
768,Joseph R. Biden Jr.,Adults,09-08-21,44.27,49.143973,39.392043,48.08,52.91223,43.242263,09:25:10  8 Sep 2021,-3.81,2021-09-08 09:25:10,Sep. 08
771,Joseph R. Biden Jr.,Adults,09-07-21,44.97,49.41532,40.531551,47.7,52.454049,42.94102,18:34:11  7 Sep 2021,-2.72,2021-09-07 18:34:11,Sep. 07
780,Joseph R. Biden Jr.,Adults,09-06-21,45.63,50.218188,41.032803,48.07,52.740562,43.403697,09:56:22  6 Sep 2021,-2.45,2021-09-06 09:56:22,Sep. 06
783,Joseph R. Biden Jr.,Adults,09-03-21,45.62,50.214395,41.021141,48.08,52.749302,43.406912,10:34:10  3 Sep 2021,-2.46,2021-09-03 10:34:10,Sep. 03
786,Joseph R. Biden Jr.,Adults,09-02-21,46.62,51.366796,41.878631,47.02,51.658482,42.38656,20:05:10  2 Sep 2021,-0.4,2021-09-02 20:05:10,Sep. 02
789,Joseph R. Biden Jr.,Adults,09-01-21,48.17,52.632635,43.710681,45.53,49.788347,41.273706,21:04:10  1 Sep 2021,2.64,2021-09-01 21:04:10,Sep. 01
792,Joseph R. Biden Jr.,Adults,08-31-21,48.52,52.795961,44.248257,45.94,50.328984,41.554847,21:06:10 31 Aug 2021,2.58,2021-08-31 21:06:10,Aug. 31
801,Joseph R. Biden Jr.,Adults,08-30-21,48.48,52.796987,44.154072,45.63,50.070669,41.195863,08:13:21 30 Aug 2021,2.84,2021-08-30 08:13:21,Aug. 30
804,Joseph R. Biden Jr.,Adults,08-27-21,48.48,52.796987,44.154072,45.63,50.070669,41.195863,09:39:10 27 Aug 2021,2.84,2021-08-27 09:39:10,Aug. 27
807,Joseph R. Biden Jr.,Adults,08-26-21,48.48,52.796987,44.154072,45.63,50.070669,41.195863,20:26:09 26 Aug 2021,2.84,2021-08-26 20:26:09,Aug. 26
810,Joseph R. Biden Jr.,Adults,08-25-21,48.78,53.233469,44.324154,45.56,50.165136,40.952642,10:29:09 25 Aug 2021,3.22,2021-08-25 10:29:09,Aug. 25
813,Joseph R. Biden Jr.,Adults,08-24-21,49.02,53.462607,44.577737,45.92,50.672888,41.175726,19:09:09 24 Aug 2021,3.1,2021-08-24 19:09:09,Aug. 24
816,Joseph R. Biden Jr.,Adults,08-23-21,48.92,53.301931,44.540054,46.01,50.718091,41.306606,15:00:11 23 Aug 2021,2.91,2021-08-23 15:00:11,Aug. 23
819,Joseph R. Biden Jr.,Adults,08-22-21,49.19,53.673316,44.70968,45.77,50.584668,40.960399,09:28:09 22 Aug 2021,3.42,2021-08-22 09:28:09,Aug. 22
822,Joseph R. Biden Jr.,Adults,08-21-21,48.6,53.377856,43.82005,44.63,49.19826,40.060325,14:36:09 21 Aug 2021,3.97,2021-08-21 14:36:09,Aug. 21
825,Joseph R. Biden Jr.,Adults,08-20-21,48.44,53.081122,43.789207,44.33,49.015796,39.650369,17:28:09 20 Aug 2021,4.1,2021-08-20 17:28:09,Aug. 20
828,Joseph R. Biden Jr.,Adults,08-19-21,48.85,53.594693,44.103366,43.59,48.039494,39.141259,16:39:09 19 Aug 2021,5.26,2021-08-19 16:39:09,Aug. 19
831,Joseph R. Biden Jr.,Adults,08-18-21,49.16,54.038793,44.284336,43.57,48.070596,39.061447,18:34:08 18 Aug 2021,5.6,2021-08-18 18:34:08,Aug. 18
834,Joseph R. Biden Jr.,Adults,08-17-21,49.94,54.567788,45.304458,43.02,47.636585,38.403757,20:18:08 17 Aug 2021,6.92,2021-08-17 20:18:08,Aug. 17
843,Joseph R. Biden Jr.,Adults,08-16-21,49.78,54.55097,45.00867,42.34,46.922895,37.75911,09:37:20 16 Aug 2021,7.44,2021-08-16 09:37:20,Aug. 16
846,Joseph R. Biden Jr.,Adults,08-13-21,49.78,54.55097,45.00867,42.34,46.922895,37.75911,19:08:08 13 Aug 2021,7.44,2021-08-13 19:08:08,Aug. 13
849,Joseph R. Biden Jr.,Adults,08-12-21,49.64,54.341096,44.936347,42.43,47.001292,37.855609,19:50:10 12 Aug 2021,7.21,2021-08-12 19:50:10,Aug. 12
852,Joseph R. Biden Jr.,Adults,08-11-21,49.7,54.671373,44.732307,42.12,46.785044,37.448271,18:36:09 11 Aug 2021,7.59,2021-08-11 18:36:09,Aug. 11
855,Joseph R. Biden Jr.,Adults,08-10-21,50.11,54.889776,45.327967,42.07,46.823863,37.317827,20:19:09 10 Aug 2021,8.04,2021-08-10 20:19:09,Aug. 10
864,Joseph R. Biden Jr.,Adults,08-09-21,50.11,54.889776,45.327967,42.07,46.823863,37.317827,09:34:19  9 Aug 2021,8.04,2021-08-09 09:34:19,Aug. 09
867,Joseph R. Biden Jr.,Adults,08-06-21,50.11,54.889724,45.32802,42.07,46.8238,37.31789,21:05:08  6 Aug 2021,8.04,2021-08-06 21:05:08,Aug. 06
870,Joseph R. Biden Jr.,Adults,08-05-21,50.11,54.889724,45.32802,42.07,46.8238,37.31789,21:00:10  5 Aug 2021,8.04,2021-08-05 21:00:10,Aug. 05
873,Joseph R. Biden Jr.,Adults,08-04-21,50.56,55.605028,45.524311,41.78,46.673054,36.887414,14:15:09  4 Aug 2021,8.78,2021-08-04 14:15:09,Aug. 04
876,Joseph R. Biden Jr.,Adults,08-03-21,50.98,55.724988,46.23142,41.48,46.780942,36.182429,12:30:11  3 Aug 2021,9.5,2021-08-03 12:30:11,Aug. 03
885,Joseph R. Biden Jr.,Adults,08-02-21,50.91,56.108835,45.717086,42.4,46.29053,38.515249,09:30:20  2 Aug 2021,8.51,2021-08-02 09:30:20,Aug. 02
888,Joseph R. Biden Jr.,Adults,07-30-21,50.91,56.108835,45.717086,42.4,46.29053,38.515249,09:30:10 30 Jul 2021,8.51,2021-07-30 09:30:10,Jul. 30
891,Joseph R. Biden Jr.,Adults,07-29-21,50.91,56.095367,45.717542,42.4,46.287033,38.5185,21:40:09 29 Jul 2021,8.5,2021-07-29 21:40:09,Jul. 29
894,Joseph R. Biden Jr.,Adults,07-28-21,51.54,56.969152,46.102978,42.26,46.251921,38.274777,11:46:09 28 Jul 2021,9.27,2021-07-28 11:46:09,Jul. 28
897,Joseph R. Biden Jr.,Adults,07-27-21,52.36,57.362013,47.353693,41.99,45.936109,38.035551,10:19:08 27 Jul 2021,10.37,2021-07-27 10:19:08,Jul. 27
906,Joseph R. Biden Jr.,Adults,07-26-21,52.33,57.28608,47.382428,41.87,45.777544,37.969934,09:01:17 26 Jul 2021,10.46,2021-07-26 09:01:17,Jul. 26
909,Joseph R. Biden Jr.,Adults,07-23-21,52.33,57.28608,47.382428,41.87,45.777544,37.969934,13:35:09 23 Jul 2021,10.46,2021-07-23 13:35:09,Jul. 23
912,Joseph R. Biden Jr.,Adults,07-22-21,52.04,56.635119,47.452506,41.84,45.755623,37.921719,22:31:09 22 Jul 2021,10.21,2021-07-22 22:31:09,Jul. 22
915,Joseph R. Biden Jr.,Adults,07-21-21,51.67,56.511785,46.82211,41.65,45.54522,37.758862,15:36:08 21 Jul 2021,10.01,2021-07-21 15:36:08,Jul. 21
918,Joseph R. Biden Jr.,Adults,07-20-21,52.37,57.275416,47.46158,41.48,45.419821,37.548343,10:44:08 20 Jul 2021,10.88,2021-07-20 10:44:08,Jul. 20
921,Joseph R. Biden Jr.,Adults,07-19-21,52.61,57.735254,47.494448,41.47,45.463383,37.478969,09:43:07 19 Jul 2021,11.14,2021-07-19 09:43:07,Jul. 19
927,Joseph R. Biden Jr.,Adults,07-18-21,50.65,54.907969,46.400379,41.5,45.659741,37.331425,13:54:15 18 Jul 2021,9.16,2021-07-18 13:54:15,Jul. 18
930,Joseph R. Biden Jr.,Adults,07-16-21,50.65,54.907969,46.400379,41.5,45.659741,37.331425,09:30:10 16 Jul 2021,9.16,2021-07-16 09:30:10,Jul. 16
933,Joseph R. Biden Jr.,Adults,07-15-21,50.51,54.676117,46.339995,41.47,45.604055,37.332158,09:37:09 15 Jul 2021,9.04,2021-07-15 09:37:09,Jul. 15
936,Joseph R. Biden Jr.,Adults,07-14-21,50.48,54.758378,46.199168,41.49,45.710531,37.26456,11:42:08 14 Jul 2021,8.99,2021-07-14 11:42:08,Jul. 14
939,Joseph R. Biden Jr.,Adults,07-13-21,51.03,54.915856,47.149459,41.26,45.384678,37.126989,09:33:08 13 Jul 2021,9.78,2021-07-13 09:33:08,Jul. 13
948,Joseph R. Biden Jr.,Adults,07-12-21,51.03,54.915856,47.149459,41.26,45.384678,37.126989,09:47:16 12 Jul 2021,9.78,2021-07-12 09:47:16,Jul. 12
951,Joseph R. Biden Jr.,Adults,07-09-21,51.03,54.915856,47.149459,41.26,45.384678,37.126989,10:35:08  9 Jul 2021,9.78,2021-07-09 10:35:08,Jul. 09
954,Joseph R. Biden Jr.,Adults,07-08-21,51.03,54.915794,47.149521,41.26,45.384603,37.127064,22:05:08  8 Jul 2021,9.78,2021-07-08 22:05:08,Jul. 08
957,Joseph R. Biden Jr.,Adults,07-07-21,51.21,55.169947,47.255558,41.03,45.130063,36.938777,12:10:08  7 Jul 2021,10.18,2021-07-07 12:10:08,Jul. 07
963,Joseph R. Biden Jr.,Adults,07-06-21,50.73,54.75986,46.698902,41.67,45.297196,38.044294,11:50:13  6 Jul 2021,9.06,2021-07-06 11:50:13,Jul. 06
969,Joseph R. Biden Jr.,Adults,07-04-21,50.81,55.009177,46.600876,41.7,45.486379,37.916459,12:51:13  4 Jul 2021,9.1,2021-07-04 12:51:13,Jul. 04
972,Joseph R. Biden Jr.,Adults,07-02-21,50.81,55.009177,46.600876,41.7,45.486379,37.916459,11:21:07  2 Jul 2021,9.1,2021-07-02 11:21:07,Jul. 02
975,Joseph R. Biden Jr.,Adults,07-01-21,50.76,55.156065,46.373683,41.65,45.531285,37.777861,21:44:07  1 Jul 2021,9.11,2021-07-01 21:44:07,Jul. 01
978,Joseph R. Biden Jr.,Adults,06-30-21,50.8,55.418499,46.174985,41.72,45.586605,37.845606,13:13:08 30 Jun 2021,9.08,2021-06-30 13:13:08,Jun. 30
981,Joseph R. Biden Jr.,Adults,06-29-21,51.43,55.780784,47.075314,41.57,45.546363,37.5931,21:15:10 29 Jun 2021,9.86,2021-06-29 21:15:10,Jun. 29
987,Joseph R. Biden Jr.,Adults,06-28-21,51.22,55.407093,47.029323,41.63,45.578325,37.679533,09:50:12 28 Jun 2021,9.59,2021-06-28 09:50:12,Jun. 28
990,Joseph R. Biden Jr.,Adults,06-26-21,51.22,55.407161,47.029254,41.63,45.578408,37.67945,17:10:08 26 Jun 2021,9.59,2021-06-26 17:10:08,Jun. 26
993,Joseph R. Biden Jr.,Adults,06-25-21,51.2,55.47146,46.935853,41.42,45.391103,37.449278,10:14:08 25 Jun 2021,9.78,2021-06-25 10:14:08,Jun. 25
996,Joseph R. Biden Jr.,Adults,06-24-21,51.12,55.443133,46.79936,41.4,45.41656,37.391599,18:53:06 24 Jun 2021,9.72,2021-06-24 18:53:06,Jun. 24
999,Joseph R. Biden Jr.,Adults,06-23-21,50.94,55.335772,46.537003,41.63,45.746212,37.50919,18:54:07 23 Jun 2021,9.31,2021-06-23 18:54:07,Jun. 23
1002,Joseph R. Biden Jr.,Adults,06-22-21,50.9,55.409742,46.390352,42.06,46.276805,37.851172,20:36:07 22 Jun 2021,8.84,2021-06-22 20:36:07,Jun. 22
1011,Joseph R. Biden Jr.,Adults,06-21-21,50.69,55.200267,46.178664,41.65,46.111585,37.189836,08:17:14 21 Jun 2021,9.04,2021-06-21 08:17:14,Jun. 21
1014,Joseph R. Biden Jr.,Adults,06-18-21,50.69,55.200336,46.178594,41.65,46.11167,37.189751,13:05:07 18 Jun 2021,9.04,2021-06-18 13:05:07,Jun. 18
1017,Joseph R. Biden Jr.,Adults,06-17-21,50.69,55.200267,46.178664,41.65,46.111585,37.189836,20:59:07 17 Jun 2021,9.04,2021-06-17 20:59:07,Jun. 17
1020,Joseph R. Biden Jr.,Adults,06-16-21,50.81,55.322151,46.29304,40.71,45.438615,35.984092,12:23:08 16 Jun 2021,10.1,2021-06-16 12:23:08,Jun. 16
1023,Joseph R. Biden Jr.,Adults,06-15-21,52.07,56.194307,47.952658,39.64,44.237387,35.033061,10:24:10 15 Jun 2021,12.44,2021-06-15 10:24:10,Jun. 15
1032,Joseph R. Biden Jr.,Adults,06-14-21,52.07,56.194307,47.952658,39.64,44.237387,35.033061,13:02:15 14 Jun 2021,12.44,2021-06-14 13:02:15,Jun. 14
1035,Joseph R. Biden Jr.,Adults,06-11-21,52.07,56.194382,47.952584,39.64,44.237477,35.032972,23:06:07 11 Jun 2021,12.44,2021-06-11 23:06:07,Jun. 11
1038,Joseph R. Biden Jr.,Adults,06-10-21,51.88,55.839908,47.921154,39.6,44.205285,34.999152,09:34:08 10 Jun 2021,12.28,2021-06-10 09:34:08,Jun. 10
1041,Joseph R. Biden Jr.,Adults,06-09-21,52.08,56.199363,47.964078,39.35,44.124143,34.566036,14:47:08  9 Jun 2021,12.74,2021-06-09 14:47:08,Jun. 09
1044,Joseph R. Biden Jr.,Adults,06-08-21,52.24,56.377625,48.10863,39.19,44.234822,34.147151,12:30:11  8 Jun 2021,13.05,2021-06-08 12:30:11,Jun. 08
1053,Joseph R. Biden Jr.,Adults,06-07-21,52.26,56.400195,48.128294,39.34,44.448203,34.238714,09:29:15  7 Jun 2021,12.92,2021-06-07 09:29:15,Jun. 07
1056,Joseph R. Biden Jr.,Adults,06-04-21,52.26,56.400119,48.12837,39.34,44.448112,34.238805,21:00:12  4 Jun 2021,12.92,2021-06-04 21:00:12,Jun. 04
1059,Joseph R. Biden Jr.,Adults,06-03-21,52.26,56.400119,48.12837,39.34,44.448112,34.238805,20:56:07  3 Jun 2021,12.92,2021-06-03 20:56:07,Jun. 03
1062,Joseph R. Biden Jr.,Adults,06-02-21,52.34,56.590234,48.08722,38.88,44.000633,33.753729,09:39:08  2 Jun 2021,13.46,2021-06-02 09:39:08,Jun. 02
1074,Joseph R. Biden Jr.,Adults,06-01-21,52.22,56.823056,47.618987,40.27,44.3816,36.159793,09:28:18  1 Jun 2021,11.95,2021-06-01 09:28:18,Jun. 01
1077,Joseph R. Biden Jr.,Adults,05-28-21,52.22,56.823134,47.618909,40.27,44.381692,36.159701,13:54:08 28 May 2021,11.95,2021-05-28 13:54:08,May. 28
1080,Joseph R. Biden Jr.,Adults,05-27-21,52.54,57.082605,48.002243,40.12,44.295923,35.951388,19:41:07 27 May 2021,12.42,2021-05-27 19:41:07,May. 27
1083,Joseph R. Biden Jr.,Adults,05-26-21,52.9,57.59952,48.19837,39.4,43.267613,35.538575,21:22:07 26 May 2021,13.5,2021-05-26 21:22:07,May. 26
1086,Joseph R. Biden Jr.,Adults,05-25-21,53.44,58.17723,48.69416,39.36,43.51825,35.19902,10:55:28 25 May 2021,14.08,2021-05-25 10:55:28,May. 25
1095,Joseph R. Biden Jr.,Adults,05-24-21,53.45,58.17424,48.720638,39.2,43.301965,35.090203,09:09:12 24 May 2021,14.25,2021-05-24 09:09:12,May. 24
1098,Joseph R. Biden Jr.,Adults,05-21-21,53.45,58.17424,48.720638,39.2,43.301965,35.090203,21:02:06 21 May 2021,14.25,2021-05-21 21:02:06,May. 21
1101,Joseph R. Biden Jr.,Adults,05-20-21,53.23,58.162008,48.291281,39.21,43.613957,34.799075,10:15:10 20 May 2021,14.02,2021-05-20 10:15:10,May. 20
1104,Joseph R. Biden Jr.,Adults,05-19-21,53.39,58.508695,48.273418,39.09,43.60303,34.578956,16:44:07 19 May 2021,14.3,2021-05-19 16:44:07,May. 19
1107,Joseph R. Biden Jr.,Adults,05-18-21,53.39,58.414452,48.36384,38.72,43.210649,34.234118,13:58:08 18 May 2021,14.67,2021-05-18 13:58:08,May. 18
1116,Joseph R. Biden Jr.,Adults,05-17-21,53.86,59.00128,48.717952,38.23,42.873101,33.59642,08:53:11 17 May 2021,15.62,2021-05-17 08:53:11,May. 17
1119,Joseph R. Biden Jr.,Adults,05-14-21,53.86,59.001192,48.718041,38.23,42.873,33.596521,10:42:07 14 May 2021,15.62,2021-05-14 10:42:07,May. 14
1122,Joseph R. Biden Jr.,Adults,05-13-21,53.86,59.001192,48.718041,38.23,42.873,33.596521,09:54:07 13 May 2021,15.62,2021-05-13 09:54:07,May. 13
1125,Joseph R. Biden Jr.,Adults,05-12-21,53.86,59.272267,48.43997,37.96,42.814908,33.101895,13:13:06 12 May 2021,15.9,2021-05-12 13:13:06,May. 12
1128,Joseph R. Biden Jr.,Adults,05-11-21,54.1,59.549732,48.642604,37.85,42.845759,32.857516,10:07:07 11 May 2021,16.24,2021-05-11 10:07:07,May. 11
1137,Joseph R. Biden Jr.,Adults,05-10-21,53.08,57.637129,48.520045,38.67,43.777001,33.555917,09:11:11 10 May 2021,14.41,2021-05-10 09:11:11,May. 10
1140,Joseph R. Biden Jr.,Adults,05-07-21,53.08,57.63722,48.519953,38.67,43.777106,33.555812,21:27:07  7 May 2021,14.41,2021-05-07 21:27:07,May. 07
1143,Joseph R. Biden Jr.,Adults,05-06-21,53.09,57.654102,48.52028,38.65,43.767056,33.526439,13:18:07  6 May 2021,14.44,2021-05-06 13:18:07,May. 06
1146,Joseph R. Biden Jr.,Adults,05-05-21,53.02,57.635894,48.409279,38.78,43.981641,33.571901,20:59:07  5 May 2021,14.25,2021-05-05 20:59:07,May. 05
1149,Joseph R. Biden Jr.,Adults,05-04-21,53.46,57.83212,49.088867,38.35,43.496283,33.205887,09:39:07  4 May 2021,15.11,2021-05-04 09:39:07,May. 04
1155,Joseph R. Biden Jr.,Adults,05-03-21,54.22,58.587688,49.859903,39.85,44.286899,35.413048,09:09:09  3 May 2021,14.37,2021-05-03 09:09:09,May. 03
1158,Joseph R. Biden Jr.,Adults,05-01-21,54.22,58.587688,49.859903,39.85,44.286899,35.413048,20:20:07  1 May 2021,14.37,2021-05-01 20:20:07,May. 01
1161,Joseph R. Biden Jr.,Adults,04-30-21,54.13,58.581758,49.68344,40.22,44.664994,35.780024,16:50:10 30 Apr 2021,13.91,2021-04-30 16:50:10,Apr. 30
1164,Joseph R. Biden Jr.,Adults,04-29-21,53.98,58.375152,49.593715,40.35,44.717503,35.974921,17:57:07 29 Apr 2021,13.64,2021-04-29 17:57:07,Apr. 29
1167,Joseph R. Biden Jr.,Adults,04-28-21,54.0,58.464908,49.526907,40.59,44.88931,36.294067,18:58:07 28 Apr 2021,13.4,2021-04-28 18:58:07,Apr. 28
1170,Joseph R. Biden Jr.,Adults,04-27-21,54.41,58.974996,49.846465,40.88,45.172629,36.587854,13:30:08 27 Apr 2021,13.53,2021-04-27 13:30:08,Apr. 27
1173,Joseph R. Biden Jr.,Adults,04-26-21,54.33,59.191649,49.476275,40.07,44.322438,35.819283,17:19:06 26 Apr 2021,14.26,2021-04-26 17:19:06,Apr. 26
1179,Joseph R. Biden Jr.,Adults,04-25-21,53.17,58.356746,47.990639,38.86,43.030728,34.682564,13:00:11 25 Apr 2021,14.32,2021-04-25 13:00:11,Apr. 25
1182,Joseph R. Biden Jr.,Adults,04-23-21,53.17,58.356746,47.990639,38.86,43.030728,34.682564,18:01:07 23 Apr 2021,14.32,2021-04-23 18:01:07,Apr. 23
1185,Joseph R. Biden Jr.,Adults,04-22-21,52.97,58.188145,47.760206,38.88,43.101932,34.659215,21:22:10 22 Apr 2021,14.09,2021-04-22 21:22:10,Apr. 22
1188,Joseph R. Biden Jr.,Adults,04-21-21,53.12,58.454254,47.782653,38.65,43.004638,34.300373,10:15:08 21 Apr 2021,14.47,2021-04-21 10:15:08,Apr. 21
1191,Joseph R. Biden Jr.,Adults,04-20-21,53.03,58.185095,47.876797,39.36,43.729111,34.998121,13:35:08 20 Apr 2021,13.67,2021-04-20 13:35:08,Apr. 20
1200,Joseph R. Biden Jr.,Adults,04-19-21,52.81,57.894426,47.729679,39.47,43.740217,35.200007,09:33:10 19 Apr 2021,13.34,2021-04-19 09:33:10,Apr. 19
1203,Joseph R. Biden Jr.,Adults,04-16-21,52.81,57.894547,47.729558,39.47,43.740357,35.199867,15:54:06 16 Apr 2021,13.34,2021-04-16 15:54:06,Apr. 16
