,geometry
407,POINT (-80.97448429170024 26.26903464161559)
408,POINT (-81.31635220206171 26.154726925160166)
409,POINT (-81.22558558762611 26.056537303578438)
410,POINT (-81.22558558762611 26.056537303578438)
411,POINT (-80.88269399669272 25.959784690812494)
412,POINT (-80.4616065845427 25.76209018691515)
413,POINT (-81.36624857474916 26.38135533551674)
414,POINT (-81.34430854984792 26.60166678101152)
415,POINT (-81.68928887653048 26.571359733285487)
416,POINT (-81.34852205007738 25.983422972014385)
417,POINT (-81.6917841682177 26.45160740782441)
418,POINT (-80.47432800187858 25.42783238354914)
419,POINT (-81.63049302457895 26.199102704816983)
420,POINT (-81.43028778791123 26.199904086461597)
421,POINT (-81.43031758233424 26.199840791182442)
422,POINT (-81.4482512845617 27.790732002596766)
423,POINT (-81.6308331258472 26.154451299700074)
424,POINT (-81.78188659977324 26.444082260584963)
425,POINT (-81.38237696868275 25.9173747763657)
426,POINT (-81.58430443475196 28.291853038432087)
427,POINT (-81.34118865864535 26.59954344734634)
428,POINT (-80.94879630319416 26.244133338751684)
429,POINT (-80.87090636461994 26.22477928083677)
430,POINT (-81.36084958221232 26.601291733351193)
431,POINT (-81.19217007006048 26.291165984550886)
432,POINT (-81.2713982738292 26.39582385985284)
433,POINT (-81.68448529544878 26.054070977184644)
434,POINT (-81.31190942572061 26.278467986875317)
435,POINT (-81.69581728044987 26.453420689528766)
436,POINT (-81.34201293298712 26.25994327108104)
437,POINT (-81.22705019637377 26.603671827249865)
438,POINT (-81.58172673611219 28.294165839706576)
439,POINT (-81.00620248296072 26.272179049295833)
440,POINT (-80.94321288113957 25.967017908943927)
441,POINT (-81.72252387943641 26.43012907888553)
442,POINT (-81.44064526522075 26.653127776523515)
443,POINT (-81.80032794086607 26.643206291856323)
444,POINT (-80.40915395330633 25.33372358743068)
445,POINT (-81.59513993437027 26.346005274949736)
446,POINT (-81.28733610005675 26.422736118123336)
447,POINT (-81.07453749640527 26.303085864939064)
448,POINT (-81.26859547354888 25.890684979881417)
449,POINT (-81.35061944648422 25.976464971527616)
450,POINT (-81.68085202245122 26.049817244359673)
451,POINT (-81.07495939916161 26.24249758928032)
452,POINT (-81.68706610136113 26.136532741887347)
453,POINT (-81.34533122610334 26.359168158670514)
454,POINT (-81.18586236424008 25.951667285792038)
455,POINT (-81.2766438502852 29.652049576002838)
456,POINT (-81.68739113698375 26.103185941182964)
457,POINT (-81.3458547040638 26.017607015521783)
458,POINT (-80.93192475817885 25.845325081725214)
459,POINT (-81.30165679527947 26.4112665494823)
460,POINT (-81.36496964597413 26.598789225085547)
461,POINT (-81.34548202359514 26.35932129383973)
462,POINT (-81.49652214945436 26.179726675084638)
463,POINT (-81.34374028637897 26.33973184796506)
464,POINT (-81.03567053187672 25.884969457249987)
465,POINT (-81.35858438500199 26.2037486145031)
466,POINT (-81.62698052198652 26.154323653424218)
467,POINT (-81.26948382921145 25.890629152846564)
468,POINT (-81.29005750039587 26.564154555622064)
469,POINT (-81.2873883909894 26.484216002281283)
470,POINT (-81.20998309979922 26.1197417527863)
471,POINT (-81.55482828572704 26.150935682476334)
472,POINT (-81.34441401835049 26.22177902972247)
473,POINT (-80.63452021595468 25.45803730533786)
474,POINT (-81.64730340869646 26.15482968271278)
475,POINT (-81.32953573703426 26.53908525179689)
476,POINT (-80.25564433896814 25.785066221103616)
477,POINT (-81.12541435776748 26.48407996445512)
478,POINT (-81.57941691509012 25.987775289509777)
479,POINT (-81.05592017534828 26.043600437311735)
480,POINT (-81.36222039157295 26.295000055187767)
481,POINT (-81.34820843114369 26.184848239224436)
482,POINT (-80.96840644679475 26.264013014972893)
483,POINT (-80.9607942165019 26.267090208571197)
484,POINT (-81.4816734936779 26.364661623385636)
485,POINT (-80.98608959990632 25.95010631897699)
486,POINT (-81.06587466392978 26.325772121737796)
487,POINT (-81.06471008709713 26.321718426756004)
488,POINT (-81.0678487629706 26.326033054726015)
489,POINT (-81.34334169490425 26.330306167924334)
490,POINT (-81.34321012315617 26.323064940604755)
491,POINT (-81.36377460098198 26.567055280598556)
492,POINT (-81.27737579578208 26.488813603769092)
493,POINT (-80.96261718567428 26.26634124373811)
494,POINT (-81.12701393569162 26.569991264356435)
495,POINT (-82.31086391165614 28.004584345259552)
496,POINT (-81.32671464076655 26.61330150161464)
497,POINT (-81.34234447600566 26.267138940667838)
498,POINT (-81.19049546664044 26.308477685339675)
499,POINT (-81.5951111128227 26.33253391761685)
500,POINT (-81.36643222991913 26.417300306714854)
501,POINT (-80.88757522724929 25.97377586875887)
502,POINT (-81.31573422223168 26.418288021463027)
503,POINT (-81.34730339556293 26.183387642240394)
504,POINT (-81.48583887564916 26.15425492528421)
505,POINT (-81.25029812610791 26.22075470388707)
506,POINT (-81.33453717295562 26.605563527900067)
507,POINT (-81.34202993719714 26.255491716556516)
508,POINT (-81.34462468316607 26.058370084887056)
509,POINT (-81.33065847842583 27.00051761894175)
510,POINT (-81.53130730407918 26.39515811790039)
511,POINT (-81.37653645687871 26.211567420217985)
512,POINT (-81.06794762616087 26.220532134095127)
513,POINT (-81.34598456272465 26.453928586691713)
514,POINT (-81.69274746852777 26.443287124028814)
515,POINT (-81.20621294601024 26.42621694785885)
516,POINT (-81.34234625017835 26.267743908129862)
517,POINT (-81.34690676331385 26.001531542475274)
518,POINT (-81.34684320930413 26.003707866017535)
519,POINT (-80.56194738308932 26.363573709261804)
520,POINT (-81.01070670855883 26.35159299009063)
521,POINT (-81.33693143651271 26.4142126111919)
522,POINT (-80.93619435460454 25.978013397089065)
523,POINT (-81.33685960991754 26.41710213941402)
524,POINT (-81.00390344890857 26.107289137804194)
525,POINT (-81.15513443801959 26.077552124040025)
526,POINT (-81.23338421115389 26.423032990804195)
527,POINT (-81.38206395790854 26.4168079425654)
528,POINT (-81.40291389158556 26.96341201598007)
529,POINT (-80.99638720809543 26.277018960177966)
530,POINT (-81.21261118494328 26.42618951937218)
531,POINT (-81.0446952785122 26.22894778239487)
532,POINT (-81.364821668294 26.293973144583948)
533,POINT (-81.04191688905141 26.326142305812954)
534,POINT (-81.34247995003534 26.25528296630853)
535,POINT (-80.54347436290797 25.58483840729165)
536,POINT (-81.37567417481726 26.054798161622276)
537,POINT (-81.01789650339437 26.37647731476171)
538,POINT (-81.33584601742626 27.07061134280552)
539,POINT (-81.06749986450077 25.682340116144566)
540,POINT (-81.18530725570017 26.296746190493916)
541,POINT (-81.09924084961327 26.372137023540635)
542,POINT (-80.99499564765173 26.2620118470587)
543,POINT (-80.8950430057495 26.203290455440232)
544,POINT (-81.02882557332929 25.856454164216597)
545,POINT (-80.95703060244821 26.261590147506833)
546,POINT (-81.34474483642857 26.21853665084442)
547,POINT (-81.65920025434822 26.089042109624735)
548,POINT (-81.21803079381591 26.187461066666955)
549,POINT (-81.36419961909573 26.24872834464631)
550,POINT (-81.31336437668065 26.420794336439503)
551,POINT (-81.32553929942185 26.388902860898046)
552,POINT (-81.26982372027395 25.890836209755395)
553,POINT (-81.34969560826623 26.60283644672564)
554,POINT (-81.35435647759202 26.18591677498195)
555,POINT (-81.00200132648158 25.99744168698123)
556,POINT (-81.02753392979969 26.435455518290357)
557,POINT (-81.09374821848782 26.035363717006735)
558,POINT (-81.34774444411293 26.418656204559653)
559,POINT (-81.14097989519182 26.296877857906544)
560,POINT (-80.92985695227748 25.98391600692963)
561,POINT (-81.17960472692037 26.321078776648534)
562,POINT (-81.34267925475586 26.265187784815907)
563,POINT (-81.2712809825992 26.367074718319223)
564,POINT (-81.31957770729392 26.41929979025924)
565,POINT (-81.09195198766989 26.332349261844143)
566,POINT (-81.77548044219097 26.547667766085183)
567,POINT (-80.91088586657676 25.968554760556607)
568,POINT (-81.38764677988851 26.232441096028328)
569,POINT (-81.3914038056979 26.02310734361086)
570,POINT (-81.3421302215222 26.26579406584901)
571,POINT (-81.23714543658724 26.354602555158483)
572,POINT (-81.04787067122626 26.281895989085683)
573,POINT (-80.70949991843555 25.408410678654374)
574,POINT (-80.643959541382 25.380272015545273)
575,POINT (-81.34180416271846 26.24677883411257)
576,POINT (-81.34523512253762 26.164132599507337)
577,POINT (-81.0951418818876 26.397656812429915)
578,POINT (-81.10889202653065 26.28434577969237)
579,POINT (-81.02015434430083 26.216230634152097)
580,POINT (-81.01081441835802 26.43198147357167)
581,POINT (-80.87437371249632 25.5422953936296)
582,POINT (-81.38897286931767 25.967761601015884)
